location_id,city,state,country,address,zip_code,latitude,longitude
327,New York,,US,280 5th Ave,,40.674397988541656,-73.98231996653998
328,New York,,US,37 W 32nd St,,40.74811,-73.9872
329,New York,,US,15 Stone St,,40.70421,-74.01208
330,New York,,US,651 Manhattan Ave,,40.7243479163883,-73.9512226101037
331,New York,,US,181 Wyckoff Ave,,40.70318,-73.91701
332,New York,,US,637 Driggs Ave,,40.71505,-73.958365
333,New York,,US,522 6th Ave,,40.66518210863434,-73.98653954110445
334,New York,,US,185 Orchard St,,40.722071,-73.98847
335,New York,,US,156 W 38th St,,40.75314,-73.98814
336,New York,,US,174 Bleecker St,,40.7287707,-74.0008161
337,New York,,US,23RD Street And Madison Ave,,40.7409,-73.98796
338,New York,,US,29A Clinton St,,40.720422,-73.984525
339,New York,,US,115 E 18th St,,40.7368831,-73.98764
340,New York,,US,14 B Orchard St,,40.71506,-73.9916
341,New York,,US,268 Clinton St,,40.68781,-73.99576
342,New York,,US,42 E Broadway,,40.7137,-73.99598
343,New York,,US,552 Court St,,40.67499,-73.99961
344,New York,,US,45-07 Ditmars Blvd,,40.77079605926445,-73.9027408
346,New York,,US,10-50 44th Dr,,40.74832507137695,-73.9499416
347,New York,,US,284 3rd Ave,,40.6773587963142,-73.9861984489446
348,New York,,US,13 St Marks Pl,,40.72939696325248,-73.98892566258719
350,New York,,US,1123 1st Ave,,40.76128,-73.96099
351,New York,,US,11 Mott St,,40.7140555,-73.9988387116394
352,New York,,US,41 W 24th St,,40.74332767519521,-73.9912032
353,New York,,US,95 Allen St,,40.71876,-73.991026
354,New York,,US,85 Broadway,,40.71069,-73.96559
355,New York,,US,17 E 48th St,,40.75703,-73.97692
356,New York,,US,7214 3rd Ave,,40.633181,-74.027351
357,New York,,US,714 Seventh Ave at W 48th St,,40.7597339,-73.9846097
358,New York,,US,712 3rd Ave,,40.75261,-73.97342
359,New York,,US,1031 Flushing Ave,,40.7039938,-73.9310911
360,New York,,US,251 West 50th St,,40.762227,-73.9856178382696
361,New York,,US,378 Park Ave S,,40.742666939835374,-73.98484186646938
362,New York,,US,124 Rivington St,,40.7196975497428,-73.9873982202378
363,New York,,US,236 W 56th St,,40.76553,-73.98274
364,New York,,US,60 E 54th St,,40.75998,-73.97313
365,New York,,US,311 Church St,,40.719623,-74.003904
366,New York,,US,202 Mott St,,40.721377,-73.995389
367,New York,,US,260 W 40th St,,40.75558,-73.99012
368,New York,,US,81 Hoyt St,,40.6880003,-73.9866846895666
369,New York,,US,31 Cornelia St,,40.73136,-74.00253
370,New York,,US,485 7th Ave,,40.75245723977984,-73.98936677488305
371,New York,,US,116 Stanton St,,40.721196,-73.987118
372,New York,,US,226 3rd Ave,,40.736601,-73.985085
373,New York,,US,17 E 32nd St,,40.746873,-73.984392
374,New York,,US,301 S End Ave,,40.71031141285253,-74.01658239999999
375,New York,,US,294 3rd Ave,,40.7386178790617,-73.9834206895483
376,New York,,US,1 Hanover Sq,,40.704512,-74.009834
377,New York,,US,100 E 19th St,,40.7375,-73.98782
378,New York,,US,204 E 10th St,,40.72951,-73.98643
379,New York,,US,538 Madison Ave,,40.76075,-73.97379
380,New York,,US,28 W 32nd St,,40.7475125111924,-73.9867554408843
381,New York,,US,319 Bowery,,40.72535,-73.99193
382,New York,,US,371 W 34th St,,40.7534700430117,-73.99595067259492
383,New York,,US,351 E 12th St,,40.730369942268375,-73.9837222575225
384,New York,,US,550 3rd Ave,,40.74744,-73.97728
385,New York,,US,129 W 56th St,,40.76435,-73.97904
386,New York,,US,486 Halsey St,,40.6834345006833,-73.9346118563989
387,New York,,US,16 E 46th St,,40.7555,-73.97802
388,New York,,US,127 Macdougal St,,40.73063650237976,-74.0000907846602
389,New York,,US,129 W 52nd St,,40.76189587672743,-73.9806749
390,New York,,US,488 9th Ave,,40.755403,-73.994516
391,New York,,US,19 Wyckoff Ave,,40.70683,-73.9228
392,New York,,US,15 Cliff St,,40.708426,-74.005657
393,New York,,US,321 9th St,,40.6690414829378,-73.98545571626407
394,New York,,US,2 W 32nd St,,40.747266,-73.9861784
395,New York,,US,38-01 31st St,,40.753598566900095,-73.93190439177181
396,New York,,US,125 W 55th St,,40.763541894630784,-73.97902511983438
397,New York,,US,146 Metropolitan Ave,,40.715909,-73.962252
398,New York,,US,413 Graham Ave,,40.7172335,-73.94504
399,New York,,US,240 E 58th St,,40.760074,-73.965574
400,New York,,US,30 Hudson St,,40.71667,-74.00899
401,New York,,US,77 Worth St,,40.71694,-74.0057
